iter	Logloss
0	0.6253899592
1	0.5715272427
2	0.5305604127
3	0.5005474556
4	0.4772147833
5	0.458161335
6	0.4443187424
7	0.4339796556
8	0.4243196868
9	0.416569368
10	0.4106738892
11	0.4051794495
12	0.4014542217
13	0.3975082951
14	0.394738072
15	0.3924028912
16	0.3900680329
17	0.3878916062
18	0.3861593494
19	0.3847873253
20	0.3834092673
21	0.3823491233
22	0.3811461628
23	0.3801045718
24	0.3792575165
25	0.3785079835
26	0.377779206
27	0.3771845534
28	0.3764844252
29	0.3758496919
30	0.3754537514
31	0.3750314167
32	0.3743408095
33	0.3739490107
34	0.3734309489
35	0.3731184807
36	0.3726115479
37	0.3722759471
38	0.3719989076
39	0.3716798912
40	0.3713833317
41	0.3710749294
42	0.3708649513
43	0.3706772827
44	0.3704408123
45	0.3702114676
46	0.3699947526
47	0.3697694325
48	0.3695204137
49	0.3693395828
50	0.3690334367
51	0.3687880614
52	0.3686292931
53	0.3683450475
54	0.3681894052
55	0.3680667054
56	0.3679050496
57	0.3677784659
58	0.3676409202
59	0.367550362
60	0.3673965614
61	0.3672795921
62	0.367152509
63	0.3670284521
64	0.3668993793
65	0.3667978457
66	0.3666926042
67	0.3666236703
68	0.3664663947
69	0.3663233321
70	0.3662044527
71	0.3660634549
72	0.3659727769
73	0.3658345582
74	0.3657190002
75	0.3656222451
76	0.365536597
77	0.3654478577
78	0.3653315011
79	0.3652380935
80	0.3651698173
81	0.3650496014
82	0.3649560977
83	0.3648965176
84	0.364759572
85	0.3646946899
86	0.3645906677
87	0.3644327761
88	0.3644010149
89	0.364310471
90	0.364201041
91	0.3641288244
92	0.3639817827
93	0.3639135204
94	0.3638388615
95	0.3637513412
96	0.3636967627
97	0.3636292261
98	0.3635182728
99	0.3634324518
100	0.3633592656
101	0.3632175636
102	0.3631114063
103	0.3630335905
104	0.3629843402
105	0.3629123715
106	0.3628169423
107	0.3627419844
108	0.3626211832
109	0.3625769722
110	0.3624949157
111	0.3623944813
112	0.3623212325
113	0.3621917046
114	0.3620969886
115	0.361996235
116	0.3618541714
117	0.3618092226
118	0.3616967967
119	0.3615900867
120	0.3615130578
121	0.3614234273
122	0.3613300537
123	0.3612646812
124	0.3611772984
125	0.3611118066
126	0.3610403497
127	0.3609798341
128	0.360897863
129	0.3608428894
130	0.3607736013
131	0.3606689095
132	0.3605464366
133	0.3604499975
134	0.3603910256
135	0.3603046704
136	0.36024935
137	0.3601641177
138	0.3601020536
139	0.3600303833
140	0.3599594944
141	0.359869396
142	0.359788728
143	0.3596862053
144	0.3596003021
145	0.3595442452
146	0.3594719727
147	0.3594104898
148	0.3593645995
149	0.3592836406
150	0.3592297429
151	0.3591438561
152	0.3590481614
153	0.358986033
154	0.3589319229
155	0.3588884691
156	0.3588316275
157	0.3587487267
158	0.3586697053
159	0.3586125851
160	0.358539722
161	0.3584981024
162	0.3584390075
163	0.3583787415
164	0.3583262969
165	0.3582524334
166	0.3582149321
167	0.3581427419
168	0.3580942997
169	0.3580399313
170	0.3579855623
171	0.3579219432
172	0.3578384134
173	0.3577665679
174	0.3577136493
175	0.3576741684
176	0.3576151176
177	0.3575589283
178	0.357497753
179	0.3574468812
180	0.3573913781
181	0.3573177589
182	0.3572717847
183	0.3572047056
184	0.3571610447
185	0.3571130097
186	0.357035491
187	0.3570024797
188	0.356946494
189	0.3568904203
190	0.3568322569
191	0.3567985312
192	0.3567568568
193	0.3567157952
194	0.3566720351
195	0.3566099374
196	0.3565632857
197	0.3565198615
198	0.3564712211
199	0.3564171018
200	0.3563627017
201	0.3563037556
202	0.3562640004
203	0.3562202674
204	0.3561812588
205	0.3561351261
206	0.3560847687
207	0.3560379492
208	0.3559861098
209	0.3559434938
210	0.3558964842
211	0.3558671716
212	0.3558228932
213	0.3557801108
214	0.3557323295
215	0.3556793737
216	0.3556244922
217	0.3555838585
218	0.3555457336
219	0.355493145
220	0.3554453697
221	0.3553992576
222	0.3553496035
223	0.3552925077
224	0.3552582316
225	0.3552154537
226	0.355182679
227	0.3551348195
228	0.3551144444
229	0.3550740001
230	0.3550096955
231	0.3549722971
232	0.3549042663
233	0.3548617219
234	0.3548317225
235	0.3547907924
236	0.3547304579
237	0.354656557
238	0.3546248623
239	0.3545930136
240	0.3545529464
241	0.3545061758
242	0.354465282
243	0.3544297661
244	0.3543851609
245	0.3543409115
246	0.3543015505
247	0.354247974
248	0.3542040655
249	0.3541650485
250	0.3541191704
251	0.3540776072
252	0.3540318513
253	0.3539792108
254	0.3539571828
255	0.3539259194
256	0.3538891075
257	0.3538345367
258	0.3537954461
259	0.3537649305
260	0.3537278505
261	0.3536868862
262	0.3536526729
263	0.353610189
264	0.3535717504
265	0.3535312793
266	0.3534930444
267	0.3534654129
268	0.3534136731
269	0.3533803104
270	0.3533420195
271	0.3533157561
272	0.3532636856
273	0.353192597
274	0.3531407749
275	0.3531071419
276	0.3530697327
277	0.3530336898
278	0.3529763974
279	0.3529291217
280	0.3528850386
281	0.3528632906
282	0.3528209467
283	0.3527840702
284	0.3527263984
285	0.3526967009
286	0.35266722
287	0.3526364486
288	0.3526008027
289	0.3525668023
290	0.352531421
291	0.3524844994
292	0.3524386281
293	0.3524031508
294	0.3523663208
295	0.3523367655
296	0.3523043541
297	0.3522864548
298	0.3522572793
299	0.3522141114
300	0.352183725
301	0.3521218603
302	0.352088869
303	0.3520506724
304	0.3520197009
305	0.3519907324
306	0.3519545737
307	0.3519199566
308	0.3518731793
309	0.3518522639
310	0.351818045
311	0.3517772588
312	0.3517476294
313	0.3516872409
314	0.3516389843
315	0.3516094505
316	0.351582125
317	0.3515490424
318	0.3515264624
319	0.3514920543
320	0.3514611216
321	0.3514340394
322	0.3513968016
323	0.3513670875
324	0.351319149
325	0.3512853741
326	0.3512516555
327	0.3512162919
328	0.3511832688
329	0.3511451629
330	0.3511037889
331	0.3510569128
332	0.3510265838
333	0.3510019547
334	0.3509699175
335	0.350934643
336	0.3508984897
337	0.3508570601
338	0.3508246424
339	0.3507987923
340	0.3507660719
341	0.3507273865
342	0.350699123
343	0.3506735966
344	0.3506243512
345	0.3505980345
346	0.3505650798
347	0.3505296654
348	0.3505015607
349	0.3504704932
350	0.3504395743
351	0.350397008
352	0.3503774804
353	0.3503501142
354	0.3503248288
355	0.3502881956
356	0.3502541914
357	0.3502276107
358	0.3502070337
359	0.3501695544
360	0.3501505236
361	0.3501303904
362	0.3501053575
363	0.3500653191
364	0.350017395
365	0.3499873244
366	0.3499624538
367	0.3499238123
368	0.349891446
369	0.3498705158
370	0.3498330556
371	0.3498064204
372	0.3497792633
373	0.349761
374	0.3497169386
375	0.3496849523
376	0.3496492689
377	0.3496115289
378	0.3495807944
379	0.3495456066
380	0.349524121
381	0.3494974511
382	0.349466764
383	0.3494494052
384	0.349396011
385	0.3493712125
386	0.349354749
387	0.34933637
388	0.3493009398
389	0.349271884
390	0.3492344755
391	0.3492033773
392	0.3491712316
393	0.349137159
394	0.3491061675
395	0.3490689191
396	0.349037609
397	0.3490103141
398	0.348975494
399	0.3489489327
400	0.3489178759
401	0.34888237
402	0.3488386645
403	0.3488044343
404	0.3487705159
405	0.3487494679
406	0.3487213916
407	0.3486984838
408	0.348662085
409	0.3486286055
410	0.3485971417
411	0.3485750572
412	0.3485306039
413	0.3484983393
414	0.3484778646
415	0.348453545
416	0.3484194818
417	0.3483975866
418	0.3483774905
419	0.3483488233
420	0.3483370347
421	0.3483172712
422	0.3482872929
423	0.3482629046
424	0.3482236043
425	0.3481924179
426	0.3481590797
427	0.3481214185
428	0.348093573
429	0.3480652186
430	0.3480398501
431	0.3480085409
432	0.3479731203
433	0.3479520655
434	0.3479270684
435	0.3479060546
436	0.3478864022
437	0.3478630524
438	0.347835662
439	0.3478145953
440	0.3477833367
441	0.3477436628
442	0.3477017132
443	0.347681107
444	0.347658452
445	0.3476289744
446	0.3475936195
447	0.3475565021
448	0.3475198138
449	0.3474980894
450	0.3474705664
451	0.3474403285
452	0.3474136137
453	0.3473856228
454	0.3473613033
455	0.3473292875
456	0.3473130676
457	0.3472826421
458	0.3472625992
459	0.3472445728
